,Video_name,frame_name,face_name,Anger,Disgust,Fear,Happy,Sad,Surprise,Neutral,Dominant,Coefficient,Coefficient/s
282,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0254.jpg,mark_zuckerbergs_testimony_before_congress-0254-1.jpg,0.112851888,0.014023415,0.300648749,0.049033679,0.154900834,0.014168923,0.354372442,Neutral,0,0.666666667
283,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0214.jpg,mark_zuckerbergs_testimony_before_congress-0214-1.jpg,0.068099715,0.01419481,0.128723443,0.003482654,0.751348138,0.002960273,0.031190952,Sad,1,0.666666667
284,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0214.jpg,mark_zuckerbergs_testimony_before_congress-0214-2.jpg,0.05257608,0.000404084,0.331220359,0.002679166,0.50406462,0.00288094,0.106174849,Sad,1,0.666666667
285,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0214.jpg,mark_zuckerbergs_testimony_before_congress-0214-3.jpg,0.095749229,0.000480904,0.165907666,0.035041135,0.47647965,0.00465775,0.221683681,Sad,1,1
286,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0022.jpg,mark_zuckerbergs_testimony_before_congress-0022-1.jpg,0.236803025,0.001108533,0.170927271,0.009005584,0.429752856,0.001306938,0.151095778,Sad,1,1
287,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0022.jpg,mark_zuckerbergs_testimony_before_congress-0022-2.jpg,0.050330069,0.001064668,0.19982338,0.157203287,0.408765018,0.010803887,0.172009662,Sad,1,1
288,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0022.jpg,mark_zuckerbergs_testimony_before_congress-0022-3.jpg,0.131112024,0.002903315,0.118327938,0.507599175,0.15463993,0.015887544,0.06953004,Happy,0,0.666666667
289,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0181.jpg,mark_zuckerbergs_testimony_before_congress-0181-1.jpg,0.03333506,0.000650322,0.309935302,0.002139741,0.459842473,0.019023603,0.17507349,Sad,1,0.666666667
290,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0250.jpg,mark_zuckerbergs_testimony_before_congress-0250-1.jpg,0.226235509,0.004145364,0.251597881,0.021565998,0.417833537,0.008093181,0.070528552,Sad,1,0.666666667
291,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0189.jpg,mark_zuckerbergs_testimony_before_congress-0189-1.jpg,0.079510041,0.008197661,0.28132537,0.004644889,0.557709455,0.004250905,0.06436161,Sad,1,1
