,Video_name,frame_name,face_name,Anger,Disgust,Fear,Happy,Sad,Surprise,Neutral,Dominant,Coefficient,Coefficient/s,Transcript Coefficient,Total Coefficient,T/L
52,presidential_debate,presidential_debate-0021.jpg,presidential_debate-0021-2.jpg,0.369412363,0.021068705,0.291537881,0.000363096,0.281395733,0.007223699,0.02899844,Anger,5,1.666666667,4,3.416666667,Lie
53,presidential_debate,presidential_debate-0028.jpg,presidential_debate-0028-1.jpg,0.092693657,0.001617116,0.162137479,0.01672525,0.246621281,0.008069814,0.472135335,Neutral,0,1.666666667,4,3.416666667,Lie
54,presidential_debate,presidential_debate-0028.jpg,presidential_debate-0028-2.jpg,0.184743896,0.035019692,0.412750125,0.001209138,0.334939897,0.013262221,0.018075077,Fear,6,2.666666667,0,0.666666667,Truth
55,presidential_debate,presidential_debate-0076.jpg,presidential_debate-0076-1.jpg,0.059936494,0.000501696,0.235816032,0.0043222,0.2734631,0.008791603,0.417168856,Neutral,0,2.666666667,0,0.666666667,Truth
56,presidential_debate,presidential_debate-0076.jpg,presidential_debate-0076-2.jpg,0.096483923,0.003554822,0.183240876,0.000846617,0.656559944,0.00182188,0.057492048,Sad,2,2.666666667,0,0.666666667,Truth
57,presidential_debate,presidential_debate-0023.jpg,presidential_debate-0023-1.jpg,0.266783834,0.045760293,0.236653328,0.000364558,0.433034629,0.004358773,0.013044599,Sad,2,3.333333333,0,0.833333333,Truth
58,presidential_debate,presidential_debate-0023.jpg,presidential_debate-0023-2.jpg,0.029821103,0.000267554,0.170287475,0.030566243,0.399710536,0.002209821,0.367137313,Sad,2,3.333333333,0,0.833333333,Truth
59,presidential_debate,presidential_debate-0036.jpg,presidential_debate-0036-1.jpg,0.204617202,0.038786158,0.400816262,0.051601544,0.213315979,0.01351448,0.077348366,Fear,6,3.333333333,0,0.833333333,Truth
60,presidential_debate,presidential_debate-0082.jpg,presidential_debate-0082-1.jpg,0.056016304,0.000469988,0.256437957,0.010811326,0.178528473,0.021248816,0.47648707,Neutral,0,1.666666667,0,0.416666667,Truth
61,presidential_debate,presidential_debate-0082.jpg,presidential_debate-0082-2.jpg,0.377627403,0.026387868,0.234485388,0.000469183,0.305679888,0.005106317,0.050243977,Anger,5,1.666666667,0,0.416666667,Truth
62,presidential_debate,presidential_debate-0017.jpg,presidential_debate-0017-1.jpg,0.02307524,0.000215761,0.148407459,0.021386141,0.322311699,0.001608259,0.48299551,Neutral,0,1.666666667,0,0.416666667,Truth
63,presidential_debate,presidential_debate-0017.jpg,presidential_debate-0017-2.jpg,0.0844291,0.009218335,0.209572732,0.001983431,0.677754223,0.002534152,0.014508087,Sad,2,1.333333333,0,0.333333333,Truth
64,presidential_debate,presidential_debate-0026.jpg,presidential_debate-0026-1.jpg,0.01888996,0.000170127,0.150268227,0.028422454,0.352663189,0.001523156,0.448062956,Neutral,0,1.333333333,0,0.333333333,Truth
65,presidential_debate,presidential_debate-0026.jpg,presidential_debate-0026-2.jpg,0.321645677,0.032832094,0.228957996,0.000347973,0.38484782,0.004642872,0.026725505,Sad,2,1.333333333,0,0.333333333,Truth
66,presidential_debate,presidential_debate-0088.jpg,presidential_debate-0088-1.jpg,0.281363398,0.001965617,0.192982018,0.007077567,0.225169554,0.002832481,0.288609326,Neutral,0,2,0,0.5,Truth
67,presidential_debate,presidential_debate-0047.jpg,presidential_debate-0047-1.jpg,0.04593863,0.002514768,0.474436104,0.011459929,0.35448125,0.025557443,0.08561188,Fear,6,2,0,0.5,Truth
